dataset,split_scheme,model_family,seed,auroc,accuracy,ece,brier,auroc_ci_low,auroc_ci_high,reverse_complement_mean_abs_delta,reverse_complement_flip_rate,reverse_complement_positive_prob_drop,reverse_complement_ece,reverse_complement_brier,reverse_complement_mean_abs_delta_ci_low,reverse_complement_mean_abs_delta_ci_high,mono_shuffle_mean_abs_delta,mono_shuffle_flip_rate,mono_shuffle_positive_prob_drop,mono_shuffle_ece,mono_shuffle_brier,mono_shuffle_mean_abs_delta_ci_low,mono_shuffle_mean_abs_delta_ci_high,dinuc_shuffle_mean_abs_delta,dinuc_shuffle_flip_rate,dinuc_shuffle_positive_prob_drop,dinuc_shuffle_ece,dinuc_shuffle_brier,dinuc_shuffle_mean_abs_delta_ci_low,dinuc_shuffle_mean_abs_delta_ci_high
human_nontata_promoters,official,kmer_logistic_regression,42,0.8984909999999999,0.8375,0.11021763882157634,0.133432542662848,0.8845979386187862,0.9091683111225309,0.2634432589752333,0.268,0.016821844045070478,0.21510440474419648,0.2294116046854706,0.24761250217672875,0.276742179471956,0.39074440448116765,0.405,-0.0026594560109637344,0.32857999538349103,0.34482873612730447,0.3749430675906031,0.40819405294024286,0.316267987338407,0.3215,0.05756357690093383,0.23646726305594276,0.26154245677835103,0.29988277782619016,0.33176406655922236
human_nontata_promoters,chromosome_holdout,kmer_logistic_regression,42,0.840146,0.765,0.18240232641529702,0.204125378280776,0.8232092342793089,0.8600784452683561,0.2717624745752287,0.284,-0.010665324099350726,0.2042893941431758,0.22175180462911062,0.2592917564037892,0.2881025527850162,0.36468494728451933,0.368,-0.02446375615097851,0.30656346898751863,0.32496913704325747,0.3512238513384705,0.381037844695121,0.2943550898302154,0.3015,0.05602184453934733,0.21573288540991586,0.24162076249207431,0.2789065498579131,0.31172017881195685
human_enhancers_cohn,official,kmer_logistic_regression,42,0.700194,0.6525,0.28578265025585015,0.30925042888423226,0.6811601942256796,0.7215499859851517,0.3707913085785532,0.378,0.01727172177929548,0.296340893031162,0.3142791478211482,0.3549776455749621,0.39064488474919895,0.4242434977687761,0.4345,-0.07969558168943569,0.3683076043765871,0.38409452336195704,0.4067431362460393,0.44602728613410153,0.4051801925094063,0.419,0.13848789357906,0.3568931140825447,0.3740298834431764,0.3862345548774618,0.4202734297965871
human_enhancers_cohn,chromosome_holdout,kmer_logistic_regression,42,0.6869750000000001,0.6235,0.31814073970682255,0.3347911351781911,0.6652971607912399,0.7075387492651828,0.3622616513025858,0.3735,0.0006108221791323309,0.30667167089328884,0.3237534162401304,0.3444019896893667,0.3797775082433516,0.43514036469452094,0.444,-0.060605949611358345,0.41444946034200514,0.42544722111687744,0.41545000681580485,0.45156915505277606,0.42422213405852827,0.4355,0.1256083039000757,0.36242763980507453,0.38178078074301997,0.4065629738495868,0.4401148809785214
human_enhancers_ensembl,official,kmer_logistic_regression,42,0.735919,0.6725,0.2457055763718007,0.27349878715212367,0.7147649942987548,0.7520484168784171,0.34351150532202357,0.3565,-0.026710475277360146,0.23963432835992757,0.27120845404527383,0.32912175864935544,0.35922593946363757,0.4271199750843948,0.448,0.20287746274881718,0.37736853793635267,0.40434161052689416,0.41296826787180974,0.44499974304538775,0.43407506838123605,0.45,0.21604238270401294,0.35755910596614593,0.38740719893206055,0.41561096655046925,0.44890905374014184
human_enhancers_ensembl,chromosome_holdout,kmer_logistic_regression,42,0.738554,0.6845,0.23504995393520153,0.2696101398755591,0.7164853768496462,0.7572965072559233,0.3401164750413482,0.353,-0.008540920993466927,0.25238945874265767,0.2785447906080766,0.3240578532700197,0.35436236668257776,0.4213551746378739,0.438,0.12491325319174773,0.36303809960762623,0.3887649736029072,0.4027694532967571,0.434204363743351,0.41299849631528524,0.4315,0.17489367799883965,0.3396071807130102,0.36559830103059926,0.3986370239915157,0.4302987348192449
human_ocr_ensembl,official,kmer_logistic_regression,42,0.650458,0.619,0.2963202469797955,0.3305716614378323,0.6180978690335825,0.6753756822938989,0.38000954360719724,0.3935,-0.00542196909118986,0.30472638001037067,0.3317620140051169,0.3641097235353567,0.3941593027174326,0.4640316398874735,0.489,0.22693885716273,0.4338034704628794,0.4484389255950459,0.4460524368583602,0.4793607491548829,0.45615786107805795,0.4815,0.06209043003223824,0.3801504468016909,0.4031048834780595,0.4398696538092966,0.4729067173447449
human_ocr_ensembl,chromosome_holdout,kmer_logistic_regression,42,0.6580280000000001,0.619,0.30093998013426226,0.3287384166718749,0.6357941281999309,0.6817591579271028,0.3759628658443416,0.3925,-0.0034628596502424003,0.2933885483708708,0.32081282731109934,0.35760046837231607,0.3931093692401061,0.48599511083647473,0.502,0.333035704034467,0.4285864293646693,0.44967671331968606,0.46900387009985434,0.5044454744458634,0.4388659416303533,0.468,0.1096015731931026,0.37682438024394876,0.4025743030224254,0.42401256333952714,0.45361892837126283
dummy_mouse_enhancers_ensembl,official,kmer_logistic_regression,42,0.8966600642032647,0.8181818181818182,0.12776905023956128,0.14775643729443494,0.8534239353623717,0.9322665237302576,0.16516107613985725,0.15702479338842976,0.04831971223074849,0.19420754140201785,0.19356148417614302,0.1315212211977162,0.19617408211624696,0.4336245677454272,0.4793388429752066,0.06463622510008582,0.3236421196226633,0.3676788663814344,0.37942496909454965,0.49032008156742213,0.23211622257110115,0.23140495867768596,0.26136525013063305,0.24388013950442963,0.24576678779718988,0.1914730273519727,0.28022926865463565
drosophila_enhancers_stark,official,kmer_logistic_regression,42,0.6891095592903204,0.6398843930635838,0.3243117980495819,0.33669457936676983,0.6661143017952248,0.7156476549475236,0.39995520677301827,0.40404624277456647,0.03805045376777516,0.35676096390718,0.3660901792581062,0.38034209170851174,0.4171990722653346,0.48754890453868666,0.49017341040462425,0.37575484437633533,0.4599497968217557,0.4676125453788157,0.4666231643403536,0.5080362574673783,0.49415095583958313,0.5028901734104047,0.3365084417030419,0.45945338512593115,0.46572169380266576,0.47607059665085344,0.516872670308131
human_nontata_promoters,official,small_cnn,11,0.8276239999999999,0.7755,0.02189474427700043,0.16097324014387526,0.8141712183414828,0.8432429776458588,0.058753471821546555,0.0785,0.005023658275604248,0.017449995964765548,0.16752599216534225,0.055274365935474634,0.06217009574174881,0.09784611314535141,0.1385,0.02084505558013916,0.052655802145600304,0.19861054377565415,0.09245315808802843,0.10237095281481742,0.06971066445112228,0.092,0.042740702629089355,0.029948506981134427,0.1732169679520207,0.06559351682662964,0.07374220099300147
