dataset,split_scheme,model_family,n_seeds,auroc_mean,auroc_std,accuracy_mean,accuracy_std,ece_mean,ece_std,brier_mean,brier_std,auroc_ci_low_mean,auroc_ci_low_std,auroc_ci_high_mean,auroc_ci_high_std,reverse_complement_mean_abs_delta_mean,reverse_complement_mean_abs_delta_std,reverse_complement_flip_rate_mean,reverse_complement_flip_rate_std,reverse_complement_positive_prob_drop_mean,reverse_complement_positive_prob_drop_std,reverse_complement_ece_mean,reverse_complement_ece_std,reverse_complement_brier_mean,reverse_complement_brier_std,reverse_complement_mean_abs_delta_ci_low_mean,reverse_complement_mean_abs_delta_ci_low_std,reverse_complement_mean_abs_delta_ci_high_mean,reverse_complement_mean_abs_delta_ci_high_std,mono_shuffle_mean_abs_delta_mean,mono_shuffle_mean_abs_delta_std,mono_shuffle_flip_rate_mean,mono_shuffle_flip_rate_std,mono_shuffle_positive_prob_drop_mean,mono_shuffle_positive_prob_drop_std,mono_shuffle_ece_mean,mono_shuffle_ece_std,mono_shuffle_brier_mean,mono_shuffle_brier_std,mono_shuffle_mean_abs_delta_ci_low_mean,mono_shuffle_mean_abs_delta_ci_low_std,mono_shuffle_mean_abs_delta_ci_high_mean,mono_shuffle_mean_abs_delta_ci_high_std,dinuc_shuffle_mean_abs_delta_mean,dinuc_shuffle_mean_abs_delta_std,dinuc_shuffle_flip_rate_mean,dinuc_shuffle_flip_rate_std,dinuc_shuffle_positive_prob_drop_mean,dinuc_shuffle_positive_prob_drop_std,dinuc_shuffle_ece_mean,dinuc_shuffle_ece_std,dinuc_shuffle_brier_mean,dinuc_shuffle_brier_std,dinuc_shuffle_mean_abs_delta_ci_low_mean,dinuc_shuffle_mean_abs_delta_ci_low_std,dinuc_shuffle_mean_abs_delta_ci_high_mean,dinuc_shuffle_mean_abs_delta_ci_high_std,ensemble_auroc,ensemble_accuracy,ensemble_ece,ensemble_brier,ensemble_auroc_ci_low,ensemble_auroc_ci_high,ensemble_reverse_complement_mean_abs_delta,ensemble_reverse_complement_flip_rate,ensemble_reverse_complement_positive_prob_drop,ensemble_reverse_complement_ece,ensemble_reverse_complement_brier,ensemble_reverse_complement_mean_abs_delta_ci_low,ensemble_reverse_complement_mean_abs_delta_ci_high,ensemble_mono_shuffle_mean_abs_delta,ensemble_mono_shuffle_flip_rate,ensemble_mono_shuffle_positive_prob_drop,ensemble_mono_shuffle_ece,ensemble_mono_shuffle_brier,ensemble_mono_shuffle_mean_abs_delta_ci_low,ensemble_mono_shuffle_mean_abs_delta_ci_high,ensemble_dinuc_shuffle_mean_abs_delta,ensemble_dinuc_shuffle_flip_rate,ensemble_dinuc_shuffle_positive_prob_drop,ensemble_dinuc_shuffle_ece,ensemble_dinuc_shuffle_brier,ensemble_dinuc_shuffle_mean_abs_delta_ci_low,ensemble_dinuc_shuffle_mean_abs_delta_ci_high
human_enhancers_cohn,official,small_cnn,5,0.7508057,0.001534480941556503,0.6527999999999999,0.027330568965903385,0.09511675564870237,0.054717407048786276,0.2155339717167252,0.012287476417536206,0.7293370728380333,0.003060588419437468,0.7704480762525574,0.002879675408844205,0.03085767589509487,0.013559987382215612,0.05669999999999999,0.028519467035693354,0.0013142704963684082,0.0008332411368760715,0.0922263201750815,0.05706744944340698,0.2158838119704468,0.012598834052383396,0.029754572045058013,0.013142083174402772,0.03200799558311701,0.014157348834780667,0.07753102034330368,0.01044244758716119,0.1447,0.02022770377477385,0.007733118534088135,0.008991116557207293,0.08628262393623591,0.05836892650116685,0.22114089933191425,0.011699098418791612,0.07456316895782948,0.010298349922416215,0.08049523673951627,0.011018862534387433,0.07369243204593659,0.008784988311153223,0.13929999999999998,0.014115948427222306,0.01445533037185669,0.010330008010805695,0.08091779834628106,0.048157058975794795,0.21684494476280594,0.009176333131550512,0.07109466083347797,0.00835119000229427,0.0764806927368045,0.009096465439866896,0.7535540000000001,0.654,0.07937570878863334,0.20862229379180122,0.7374682795157526,0.7797540854642795,0.018836412578821182,0.036,0.0013142824172973633,0.0781454913020134,0.2089196217818822,0.018211186956614257,0.019445169251412153,0.05922766774892807,0.1215,0.00773310661315918,0.07501672488451004,0.21188231661603352,0.05724719166755676,0.061445815954357386,0.0571020133793354,0.12,0.01445537805557251,0.06641758990287779,0.20903102174952132,0.05512377163395286,0.05934660118073225
human_enhancers_cohn,official,small_cnn_rc_aug,5,0.7615069999999999,0.0029566942351214247,0.6718999999999999,0.005633826408401307,0.07397325010821224,0.0262492501512063,0.20467220582327544,0.004119592082801281,0.7411431986420096,0.004420923820134174,0.7813065726046471,0.00311538447417268,0.030214501544833183,0.006206185901417103,0.05500000000000001,0.002345207879911714,0.00010663270950317383,0.0007511800845771703,0.07504844374805689,0.02541312717599249,0.2053677053323797,0.0038209203388356408,0.029116979083046314,0.005950063706948985,0.031259640622884034,0.00639864355997953,0.08519831448793411,0.0043116500495416175,0.1578,0.007025667228100125,0.0030724048614501954,0.007143670343842786,0.0825301559239626,0.023354743223437877,0.2169427035347729,0.0047489145988043775,0.08208876483142377,0.004192454245802468,0.08861809212714436,0.004705455680781353,0.0790309339761734,0.005090891918184968,0.1426,0.007412152184082565,0.017168772220611573,0.007901218556617934,0.06556088319644332,0.024769964931045062,0.2110940539876504,0.0036674577530393603,0.07600292071700096,0.005047050049617317,0.08191281594336033,0.005218897166174554,0.7645774999999999,0.6745,0.07089066653698685,0.20263134373096725,0.7475391429064909,0.7898058893238469,0.014183290302753448,0.031,0.00010657310485839844,0.0714325584322214,0.20331116077812272,0.013596259616315364,0.01468009992968291,0.0659988671541214,0.124,0.003072381019592285,0.07653315611183642,0.21161713678136979,0.06383554171770811,0.06823760196566582,0.061331335455179214,0.1165,0.017168760299682617,0.060587684560567144,0.2067066835192029,0.05920565202832222,0.06393381394445896
human_enhancers_ensembl,official,small_cnn,5,0.8085366,0.038020723394485784,0.7104,0.031007095962053567,0.08454971685707567,0.05190067943101709,0.18946252174709222,0.014425603513924334,0.7910606858525444,0.03981524878635105,0.828018203079813,0.03552412556926284,0.12323768585920333,0.04586490604983712,0.1833,0.07144690336186726,0.0014161467552185059,0.0036923016505266914,0.08251542241796853,0.0507405780822929,0.18920299745369482,0.01335439775358406,0.11855155102908613,0.044155275159459606,0.12823737025260926,0.04796900002476804,0.2083549365401268,0.05843288097072414,0.32530000000000003,0.06887568511455984,0.178435081243515,0.07213296586653108,0.1309662578381598,0.03668545847240429,0.26002248469880984,0.016194204422179243,0.20128602933138606,0.056458946883886404,0.21552356630563735,0.060093216277568307,0.1407606840133667,0.02816070663280975,0.21340000000000003,0.0445459313518081,0.06480709314346314,0.029895068742756388,0.08495923598781228,0.036317746568678054,0.22164570725501903,0.006849750947365398,0.13479962788522243,0.026927593417919615,0.1462652388960123,0.028821054616897258,0.838548,0.7495,0.07955404032766818,0.17191781575508241,0.8219986572485266,0.8545693900892127,0.08915505558252335,0.1325,0.0014162063598632812,0.08954799163341522,0.17147188419881232,0.08604113161563873,0.09240973070263862,0.1650836169719696,0.3095,0.17843514680862427,0.06842049494385719,0.23318478833439513,0.15939985886216163,0.17086572311818599,0.10452742874622345,0.198,0.06480705738067627,0.03800642013177276,0.19942317024001735,0.10012297984212637,0.10850379168987274
human_enhancers_ensembl,official,small_cnn_rc_aug,5,0.8684046000000001,0.020354487540589192,0.7839999999999999,0.02250999777876489,0.0351766969062388,0.020996959873639705,0.14868275416270432,0.011058085378497461,0.8528133844859308,0.02185111947657612,0.8840515508729151,0.02087408696292752,0.1002658635377884,0.03041954799583389,0.12009999999999998,0.04659227403765564,0.0028099775314331054,0.0020758706164483312,0.0329161538619548,0.022840463855587023,0.1493545074631997,0.009104442524547614,0.09586259622126818,0.029418425280535263,0.10427551232278347,0.03105534216605249,0.30210872292518615,0.028290223552041586,0.418,0.02750818060141383,0.319937664270401,0.04523456821476731,0.20485530446991324,0.024407161648907806,0.29361243569804,0.013505736833270542,0.2919660386443138,0.027776178092096957,0.31240165457129476,0.02954327205915161,0.19000291228294372,0.00641096571840431,0.2544,0.01507779824775488,0.1265183210372925,0.02830989908423179,0.08415544692799451,0.016257454516867012,0.20950084333163624,0.005274407663123506,0.1819950219243765,0.006207909552118593,0.1983455432206392,0.0068639961775036566,0.8839299999999999,0.8055,0.03993959956243633,0.1393566969178189,0.8700267126894466,0.8944800528582696,0.0688883513212204,0.07,0.0028100013732910156,0.037932924624532474,0.13992482309711016,0.06594870537519455,0.07181281019002199,0.25932037830352783,0.4035,0.31993764638900757,0.14534331845492127,0.2551415900308288,0.25118062272667885,0.2685361705720425,0.15233635902404785,0.2025,0.12651830911636353,0.03541889336518943,0.18537719045229162,0.14598403535783291,0.15883473828434944
human_nontata_promoters,official,small_cnn,5,0.8393698,0.012791806868460737,0.7813000000000001,0.009064215354899744,0.0485153047695756,0.023598913338820634,0.1587197031622017,0.003939571772874453,0.8217321160675194,0.012935224453511621,0.8558464467861586,0.012014826569832973,0.053611190617084505,0.0038561421321535003,0.0654,0.011001818031580053,0.007665503025054932,0.0023017837148253,0.04721549047455192,0.025039895864500585,0.16545837954538117,0.003268329260594008,0.050587285999208684,0.00335277600392901,0.056675177756696934,0.003985664218772242,0.12898485362529755,0.034357108320625156,0.1757,0.03977511785023395,-0.002291369438171387,0.03062990803945453,0.08591670480966569,0.031328554345198004,0.20767576751127673,0.008125796759987765,0.12279193215072155,0.033377230377459106,0.13501668088138102,0.035527661131858075,0.07567898780107499,0.003047463426598564,0.0944,0.008422588675698226,0.04646401405334473,0.005648432765177676,0.05072296580821276,0.02573933184607617,0.17316654474784565,0.0018139949885818143,0.07110922072082759,0.003029555954641003,0.08030600462108851,0.003362646135367692,0.842903,0.7945,0.0228868810981512,0.15197073242907833,0.8250783520189516,0.8577938019579564,0.04350336641073227,0.0625,0.007665514945983887,0.014320874854922288,0.1587545603389694,0.04108569659292698,0.045924692321568726,0.10977945476770401,0.1575,-0.0022913217544555664,0.0644255147203803,0.19564708948637796,0.1046868298202753,0.11431402638554573,0.0573856495320797,0.071,0.046463966369628906,0.023304338485002508,0.1644750244235244,0.05420216266065836,0.060826525557786226
human_nontata_promoters,official,small_cnn_rc_aug,5,0.8596304,0.004158500624023087,0.7902,0.006652818951391969,0.06814814200773836,0.008911449652549962,0.15083068684869078,0.0037352500251419856,0.8427339572294066,0.0033792712847232438,0.8747049019029818,0.003888363236376474,0.04125166274607182,0.011470632172497872,0.0524,0.023793696644279553,-0.0008527994155883789,0.0016896266909691812,0.06734008731842041,0.009097870703197355,0.14953376232391494,0.00286614328773588,0.03894410676322878,0.010827741022333033,0.043635605424642565,0.012086294646916906,0.1856170654296875,0.026880621463402025,0.2633,0.036401373600456345,-0.0348603367805481,0.029765678566085137,0.18748493313640355,0.0623958765966398,0.2513118659837946,0.030574630481200193,0.17742225944995882,0.026563361966341032,0.19359354771673679,0.028004909214899062,0.08718938678503037,0.0055051676973254865,0.10969999999999999,0.015226949793047853,0.03788931369781494,0.01141138325527993,0.0647769554361701,0.016390223256942338,0.16808318743168352,0.003709034109507481,0.08239329397678374,0.00513072955984445,0.0923680355399847,0.005655205583433364,0.8636599999999999,0.8015,0.0440954817906022,0.14401332620692586,0.8490289054878047,0.8788828292153378,0.016550235450267792,0.0195,-0.0008527636528015137,0.043493658445775504,0.1429321244133007,0.015704387286677956,0.017341746389865874,0.17021480202674866,0.274,-0.034860312938690186,0.17383139448612928,0.22922653116375588,0.16299137845635414,0.17696397602558137,0.06571171432733536,0.074,0.03788936138153076,0.03081705468147993,0.15645846164356392,0.06187304938212037,0.06931819766759872
human_ocr_ensembl,official,small_cnn,5,0.6274635,0.010235409048982845,0.5502,0.03635189128504871,0.06367088809907438,0.03371531066045976,0.245922484070846,0.005720608898029232,0.6038309109418315,0.012441108965494373,0.6493157924993366,0.011576353831715288,0.022672363719902933,0.012412518860167468,0.06110000000000001,0.042274578649585615,-0.0003966093063354492,0.0005797327174850411,0.06342142295837402,0.03321152200927618,0.24575048067897182,0.005937040454126372,0.021783017201232723,0.011901948431179567,0.02367496930237394,0.013021171392959793,0.04568910719826817,0.02414682602335435,0.14780000000000001,0.104203934666595,0.003064382076263428,0.010366751174245115,0.07087068841457365,0.033171302494062804,0.2540654941885257,0.00372246850624654,0.043838546648039475,0.023102712633865288,0.04769938194891439,0.02528798974195714,0.04283791746711359,0.023298121562754667,0.1348,0.09543615667031023,-0.010455989837646484,0.01036917419340024,0.08112399562895299,0.034822478922345974,0.2541181574944864,0.00477843374492331,0.041075786547153256,0.02226669844911882,0.044551362810598225,0.02427598877441331,0.640304,0.5695,0.06300831517577174,0.24280374393383203,0.6159195604737686,0.6680976757764608,0.013222581706941128,0.057,-0.0003966093063354492,0.06817342278361319,0.2425656553579078,0.01269522081129253,0.013804490608163179,0.03516728803515434,0.1485,0.003064393997192383,0.07093208801746367,0.2510768611403891,0.03373071504756808,0.036639397218823436,0.03359425812959671,0.1475,-0.010455965995788574,0.08035170733928682,0.2511484948549346,0.031861682143062356,0.035254149418324235
human_ocr_ensembl,official,small_cnn_rc_aug,5,0.6825011999999999,0.002801767827640283,0.6204000000000001,0.010214695296483393,0.057620457373559475,0.02130708520577257,0.22873276847940263,0.0025573461219684404,0.6599620197451619,0.0033447800635544914,0.7061367780584501,0.0018736944196876479,0.07603535726666451,0.011154666940700168,0.1884,0.04907280305831327,0.0008825421333312988,0.0012146831711735775,0.05560464301854373,0.01926012315737201,0.2287780487323096,0.0038288168854313104,0.07347497599199412,0.01085352200892554,0.07883223185315727,0.011484930076658907,0.13414937853813172,0.022507842783138495,0.36839999999999995,0.06316518028154436,0.061059534549713135,0.03592460235290547,0.07709949566572905,0.015937492801748433,0.2566079298682463,0.0037176093886954658,0.12958322748541834,0.021621365765124162,0.13832444321364162,0.022835413404438072,0.11888735294342041,0.01708546012798219,0.3044,0.05400129628073755,0.008495587110519408,0.004107111974488382,0.07350931874364615,0.025343871948403277,0.25215639998100936,0.0036369066062278887,0.11473276156932113,0.016414369920117917,0.12342754878103732,0.01769976285018102,0.7036005000000001,0.6385,0.05193604736030102,0.22204951197740688,0.6791408668925732,0.7253317999635354,0.05604855343699455,0.156,0.000882565975189209,0.045448109179735165,0.22224624609595112,0.05422469284385443,0.058007264509797096,0.0998835414648056,0.316,0.061059534549713135,0.018995308637619022,0.24606096249265078,0.09604698810726404,0.10302077848464251,0.08931683003902435,0.2715,0.008495569229125977,0.05590072831511496,0.24250576528644843,0.08654688429087401,0.09301794413477182
human_nontata_promoters,official,kmer_logistic_regression,1,0.8984909999999999,0.0,0.8375,0.0,0.11021763882157634,0.0,0.133432542662848,0.0,0.8845979386187862,0.0,0.9091683111225309,0.0,0.2634432589752333,0.0,0.268,0.0,0.016821844045070478,0.0,0.21510440474419648,0.0,0.2294116046854706,0.0,0.24761250217672875,0.0,0.276742179471956,0.0,0.39074440448116765,0.0,0.405,0.0,-0.0026594560109637344,0.0,0.32857999538349103,0.0,0.34482873612730447,0.0,0.3749430675906031,0.0,0.40819405294024286,0.0,0.316267987338407,0.0,0.3215,0.0,0.05756357690093383,0.0,0.23646726305594276,0.0,0.26154245677835103,0.0,0.29988277782619016,0.0,0.33176406655922236,0.0,0.8984909999999999,0.8375,0.11021763882157634,0.133432542662848,0.8845979386187862,0.9091683111225309,0.2634432589752333,0.268,0.016821844045070478,0.21510440474419648,0.2294116046854706,0.24761250217672875,0.276742179471956,0.39074440448116765,0.405,-0.0026594560109637344,0.32857999538349103,0.34482873612730447,0.3749430675906031,0.40819405294024286,0.316267987338407,0.3215,0.05756357690093383,0.23646726305594276,0.26154245677835103,0.29988277782619016,0.33176406655922236
human_nontata_promoters,chromosome_holdout,kmer_logistic_regression,1,0.840146,0.0,0.765,0.0,0.18240232641529702,0.0,0.204125378280776,0.0,0.8232092342793089,0.0,0.8600784452683561,0.0,0.2717624745752287,0.0,0.284,0.0,-0.010665324099350726,0.0,0.2042893941431758,0.0,0.22175180462911062,0.0,0.2592917564037892,0.0,0.2881025527850162,0.0,0.36468494728451933,0.0,0.368,0.0,-0.02446375615097851,0.0,0.30656346898751863,0.0,0.32496913704325747,0.0,0.3512238513384705,0.0,0.381037844695121,0.0,0.2943550898302154,0.0,0.3015,0.0,0.05602184453934733,0.0,0.21573288540991586,0.0,0.24162076249207431,0.0,0.2789065498579131,0.0,0.31172017881195685,0.0,0.840146,0.765,0.18240232641529702,0.204125378280776,0.8232092342793089,0.8600784452683561,0.2717624745752287,0.284,-0.010665324099350726,0.2042893941431758,0.22175180462911062,0.2592917564037892,0.2881025527850162,0.36468494728451933,0.368,-0.02446375615097851,0.30656346898751863,0.32496913704325747,0.3512238513384705,0.381037844695121,0.2943550898302154,0.3015,0.05602184453934733,0.21573288540991586,0.24162076249207431,0.2789065498579131,0.31172017881195685
