dataset,split_scheme,model_family,auroc,reverse_complement_mean_abs_delta,mono_shuffle_positive_prob_drop,dinuc_shuffle_positive_prob_drop,ece
human_nontata_promoters,official,kmer_logistic_regression,0.8984909999999999,0.2634432589752333,-0.0026594560109637,0.0575635769009338,0.1102176388215763
human_nontata_promoters,chromosome_holdout,kmer_logistic_regression,0.840146,0.2717624745752287,-0.0244637561509785,0.0560218445393473,0.182402326415297
human_enhancers_cohn,official,kmer_logistic_regression,0.700194,0.3707913085785532,-0.0796955816894356,0.13848789357906,0.2857826502558501
human_enhancers_cohn,chromosome_holdout,kmer_logistic_regression,0.6869750000000001,0.3622616513025858,-0.0606059496113583,0.1256083039000757,0.3181407397068225
human_enhancers_ensembl,official,kmer_logistic_regression,0.735919,0.3435115053220235,0.2028774627488171,0.2160423827040129,0.2457055763718007
human_enhancers_ensembl,chromosome_holdout,kmer_logistic_regression,0.738554,0.3401164750413482,0.1249132531917477,0.1748936779988396,0.2350499539352015
human_ocr_ensembl,official,kmer_logistic_regression,0.650458,0.3800095436071972,0.22693885716273,0.0620904300322382,0.2963202469797955
human_ocr_ensembl,chromosome_holdout,kmer_logistic_regression,0.6580280000000001,0.3759628658443416,0.333035704034467,0.1096015731931026,0.3009399801342622
dummy_mouse_enhancers_ensembl,official,kmer_logistic_regression,0.8966600642032647,0.1651610761398572,0.0646362251000858,0.261365250130633,0.1277690502395612
drosophila_enhancers_stark,official,kmer_logistic_regression,0.6891095592903204,0.3999552067730182,0.3757548443763353,0.3365084417030419,0.3243117980495819
human_enhancers_cohn,official,small_cnn,0.7535540000000001,0.0188364125788211,0.0077331066131591,0.0144553780555725,0.0793757087886333
human_enhancers_cohn,official,small_cnn_rc_aug,0.7645774999999999,0.0141832903027534,0.0030723810195922,0.0171687602996826,0.0708906665369868
human_enhancers_ensembl,official,small_cnn,0.838548,0.0891550555825233,0.1784351468086242,0.0648070573806762,0.0795540403276681
human_enhancers_ensembl,official,small_cnn_rc_aug,0.8839299999999999,0.0688883513212204,0.3199376463890075,0.1265183091163635,0.0399395995624363
human_nontata_promoters,official,small_cnn,0.842903,0.0435033664107322,-0.0022913217544555,0.0464639663696289,0.0228868810981512
human_nontata_promoters,official,small_cnn_rc_aug,0.8636599999999999,0.0165502354502677,-0.0348603129386901,0.0378893613815307,0.0440954817906022
human_ocr_ensembl,official,small_cnn,0.640304,0.0132225817069411,0.0030643939971923,-0.0104559659957885,0.0630083151757717
human_ocr_ensembl,official,small_cnn_rc_aug,0.7036005000000001,0.0560485534369945,0.0610595345497131,0.0084955692291259,0.051936047360301
human_enhancers_cohn,chromosome_holdout,small_cnn,0.6723289999999998,0.019701877608895302,0.004806935787200928,0.01597219705581665,0.08505717517435551
human_enhancers_cohn,chromosome_holdout,small_cnn_rc_aug,0.686525,0.01116395927965641,-0.0007038712501525879,0.011257171630859375,0.07722480897232892
human_nontata_promoters,chromosome_holdout,small_cnn,0.877131,0.03771568089723587,-0.012254834175109863,0.04192584753036499,0.04371308264881373
human_nontata_promoters,chromosome_holdout,small_cnn_rc_aug,0.8746149999999999,0.014434688724577427,-0.03528398275375366,0.04630923271179199,0.06748521021008493
