dataset,seed,auroc,accuracy,ece,brier,auroc_ci_low,auroc_ci_high,reverse_complement_mean_abs_delta,reverse_complement_flip_rate,reverse_complement_positive_prob_drop,reverse_complement_ece,reverse_complement_brier,reverse_complement_mean_abs_delta_ci_low,reverse_complement_mean_abs_delta_ci_high,mono_shuffle_mean_abs_delta,mono_shuffle_flip_rate,mono_shuffle_positive_prob_drop,mono_shuffle_ece,mono_shuffle_brier,mono_shuffle_mean_abs_delta_ci_low,mono_shuffle_mean_abs_delta_ci_high,dinuc_shuffle_mean_abs_delta,dinuc_shuffle_flip_rate,dinuc_shuffle_positive_prob_drop,dinuc_shuffle_ece,dinuc_shuffle_brier,dinuc_shuffle_mean_abs_delta_ci_low,dinuc_shuffle_mean_abs_delta_ci_high,motif_disruption_mean_abs_delta,motif_disruption_flip_rate,motif_disruption_positive_prob_drop,motif_disruption_ece,motif_disruption_brier,motif_disruption_mean_abs_delta_ci_low,motif_disruption_mean_abs_delta_ci_high,model_family,final_val_auroc
gc_correlated,42,1.0,1.0,0.0002761046285846783,8.036813068274631e-07,0.9999999999999999,1.0,4.4273115361360677e-05,0.0,-4.278398088253255e-06,0.0002791325139825911,9.046980273037809e-07,3.836750378709571e-05,5.12068541032296e-05,0.00028431436348341424,0.0,0.00044015078535786234,0.0005174172499732743,3.5818182256721385e-06,0.0002385309770116273,0.0003322835290880344,0.00028773179990969073,0.0,0.0004849745648859427,0.0005304490364054888,4.39435480221305e-06,0.00023333634404987114,0.00035446387547087305,0.00033616472961090735,0.0,0.0006723294592217988,0.0006122693581955777,4.97491938977102e-06,0.00027612459992440804,0.0003990243802821715,kmer_logistic_regression,
gc_correlated,11,1.0,0.9995,0.0004337302833955619,0.00022010696275374077,0.9999999999999999,1.0,0.0009961111936718225,0.001,0.0,0.0005778462703256082,0.00033883482777010223,0.0001563168116263115,0.002067351224832237,0.0007248289766721427,0.0005,0.0,0.0008874907123172306,0.0004769647601775299,8.604277772974457e-05,0.0016323850170010701,0.0015871240757405758,0.0015,0.0,0.0019306731874930705,0.0016955775600112446,0.00036034030199516586,0.0033016838831827046,2.98023217215615e-10,0.0,0.0,0.0004337302833955619,0.00022010696275391839,0.0,8.940696516468449e-10,small_cnn,1.0
gc_correlated,11,1.0,1.0,5.960501650478485e-08,5.3411355340442044e-12,1.0,1.0,7.143626589822816e-06,0.0,1.4066696166992188e-05,7.092961914484039e-06,1.0053880899379444e-07,9.046115080429097e-13,2.137714545824565e-05,5.197569308279526e-08,0.0,-1.1920928955078125e-07,1.5558293043650695e-13,2.8421728193689445e-17,6.938934019387616e-13,1.5725694453294664e-07,1.0472661671201422e-07,0.0,-1.1920928955078125e-07,5.287081350502376e-08,4.579949538210655e-12,2.293919106749478e-10,2.569421127418537e-07,1.081430946214823e-05,0.0,2.1636486053466797e-05,1.0877848043238183e-05,2.3613931865895684e-07,0.0,3.244292747694999e-05,small_cnn_rc_aug,1.0
gc_correlated,23,1.0,1.0,2.672643674372921e-06,1.2685851610430391e-08,0.9999999999999999,1.0,3.0912017336959252e-06,0.0,-4.76837158203125e-06,4.1835940578494046e-07,1.4815516923662526e-10,2.4234681674784045e-07,8.66754298840533e-06,1.2737224096781574e-05,0.0,3.2186508178710938e-06,1.0027604275819613e-05,7.142090452488114e-08,3.924801478660816e-06,2.6294610552213272e-05,2.819290784827899e-06,0.0,-5.0067901611328125e-06,1.1897961371687416e-07,1.3828696012345558e-11,9.19201321281094e-08,7.970834030857076e-06,6.273388919453282e-08,0.0,1.1920928955078125e-07,2.7322483191483116e-06,1.3191804314163606e-08,7.152557435219364e-10,1.8732920565867069e-07,small_cnn,1.0
gc_correlated,23,1.0,1.0,4.0312992943825066e-09,2.1718141626072735e-14,0.9999999999999999,1.0,4.553363019965673e-09,0.0,0.0,4.717076174109991e-10,1.5880818573789314e-16,4.685081787803027e-10,1.156511137967442e-08,2.084266634483356e-05,0.0,0.0,2.0838457203353755e-05,8.683848630241427e-07,1.0151644885825207e-09,6.251787362998584e-05,8.38423463989102e-09,0.0,0.0,4.211203386006446e-09,2.1004588401303725e-14,7.602262819261801e-10,1.7996425016875157e-08,0.0,0.0,0.0,4.0312992943825066e-09,2.1718141626072735e-14,0.0,0.0,small_cnn_rc_aug,1.0
gc_correlated,37,1.0,1.0,5.136426475260691e-07,2.0457749828315129e-10,0.9999999999999999,1.0,1.1313585673633497e-05,0.0,2.1696090698242188e-05,1.1354688245254502e-05,2.568746781168636e-07,1.1278301963457727e-07,3.3840324431366817e-05,5.988453040117747e-07,0.0,-8.940696716308594e-07,6.645698302776282e-08,5.81547844054821e-12,6.226195008451901e-08,1.2945999230851163e-06,5.314053623806103e-07,0.0,-1.0132789611816406e-06,1.495839979659408e-10,1.731007957776295e-14,1.5085390581148773e-08,1.284124832068301e-06,2.0153045625193045e-05,0.0,4.035234451293945e-05,2.0689814903995796e-05,8.22514127987847e-07,5.364417798858767e-10,6.016007982907468e-05,small_cnn,1.0
gc_correlated,37,1.0,1.0,3.834157880078237e-09,2.940118218806159e-14,1.0,1.0,4.0725725014567615e-09,0.0,0.0,8.314338190910757e-15,1.1368683776366422e-16,1.5450473584519993e-14,1.1508381603242414e-08,6.426828846883836e-09,0.0,0.0,2.5926707447609942e-09,1.3440177945608702e-14,7.482177498966326e-14,1.6687424109207427e-08,3.8408738411988e-09,0.0,0.0,6.715782010363602e-12,9.004609807588902e-20,1.3983991869235636e-14,1.1509318542657355e-08,2.98023217215615e-10,0.0,0.0,3.834157880078237e-09,2.957881787200161e-14,0.0,8.940696516468449e-10,small_cnn_rc_aug,1.0
gc_correlated,49,1.0,1.0,9.542729998424093e-07,1.75655409248075e-09,0.9999999999999999,1.0,4.8176403652178124e-05,0.0,9.256601333618164e-05,4.7252514725926176e-05,4.459658458494654e-06,7.465772478010288e-09,0.00014648784999735678,0.0002400689263595268,0.0,0.0004763007164001465,0.00023910509265958523,0.00011402166265867417,1.5251657430326316e-07,0.0007165791466832161,9.540646033201483e-07,0.0,-1.9073486328125e-06,4.055258795432337e-09,2.853734898231267e-14,5.066897290628703e-09,2.8332320255231024e-06,4.5294375013327226e-05,0.0,9.053945541381836e-05,4.622400070675159e-05,4.2745615531379566e-06,1.1771917902275742e-10,0.0001370159297948706,small_cnn,1.0
gc_correlated,49,1.0,1.0,5.961115115285867e-08,5.137202702283671e-12,0.9999999999999999,1.0,2.037440390267875e-05,0.0,4.0531158447265625e-05,2.0325342728721996e-05,8.260953648069369e-07,1.6202086408623196e-10,6.167284027469588e-05,0.0001663475122768432,0.0,0.0003324747085571289,0.00016628219264092287,5.496362565261836e-05,7.448588714709113e-08,0.0004974132112693042,5.269785319228504e-08,0.0,-1.1920928955078125e-07,6.044993672293941e-11,6.967453402901376e-18,5.895211353801347e-10,1.5569251843317033e-07,1.4047920558368787e-05,0.0,2.8073787689208984e-05,1.4096504995757351e-05,3.975334597470627e-07,0.0,4.2495064826653186e-05,small_cnn_rc_aug,1.0
gc_correlated,61,1.0,0.999,0.0009339273614832394,0.0008682301936336021,0.9999999999999999,1.0,0.0009730250458233058,0.001,0.0,3.9367383578792214e-05,1.2414021905131855e-06,2.2816985938334264e-05,0.0024019940407015382,0.0009663209202699363,0.001,1.1920928955078125e-07,3.683933027787134e-05,9.114429701556465e-07,1.7349507652397735e-05,0.001992179802618921,0.000984875368885696,0.001,0.0,5.102939030621201e-05,3.067914886354005e-06,2.8142025348643092e-05,0.0024751618970185523,8.344650526126429e-10,0.0,0.0,0.0009339273614832394,0.0008682301936349095,1.1920929521291868e-10,2.0876526896085328e-09,small_cnn,1.0
