task_id,task_label,model_id,model_label,folds,auroc_mean,auroc_std,ece_mean,brier_mean,rc_mean_abs_delta_mean,mono_positive_prob_drop_mean,dinuc_positive_prob_drop_mean,test_count_total
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,5,0.7646366079940583,0.0300465237229103,0.0427232389293898,0.1952824088619715,0.0275396540957516,-0.1018630881309141,-0.0227728064676219,27791.0
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,5,0.8265293442007369,0.0205425319063055,0.0281101494197066,0.1676872199647709,0.0646852287033035,-0.0065344340113568,0.0225842770961684,27791.0
human_enhancers_cohn,Enhancers (Cohn),kmer_logistic_regression,6-mer logistic regression,5,0.7244005367829487,0.0173811326234619,0.2170652931623128,0.2628097113196778,0.3054588111296833,-0.0662082236398191,0.0946010689624948,27791.0
human_enhancers_cohn,Enhancers (Cohn),small_cnn,CNN,5,0.7445509078597342,0.0305141113106831,0.0618580714123306,0.2051769262080484,0.049855214357376,0.0236541271209716,0.0205906629562377,27791.0
human_enhancers_cohn,Enhancers (Cohn),small_cnn_rc_aug,RC-aug CNN,5,0.7705281517831957,0.0295101029414967,0.057395660689631,0.1953175904968513,0.0568714827299117,-0.0049651622772217,0.0403737008571624,27791.0
human_enhancers_ensembl,Enhancers (Ensembl),caduceus_ph,Caduceus-Ph,5,0.7168835186377985,0.0084676047176593,0.0458868297061273,0.2168764270888414,0.0445552536185229,-0.0396943004018846,-0.0106845166748406,154842.0
human_enhancers_ensembl,Enhancers (Ensembl),kmer_logistic_regression,6-mer logistic regression,5,0.7704570892525814,0.0059328435963801,0.1815550106516711,0.2320011663463326,0.2825278662246209,0.1915664554797687,0.2294917021314942,154842.0
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn,CNN,5,0.8764915340297769,0.0053747160943404,0.0366144234075775,0.1457070384341551,0.1063457205891608,0.36300910115242,0.1409731030464172,154842.0
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn_rc_aug,RC-aug CNN,5,0.8862518726446966,0.0014037594485676,0.0375645053620396,0.1388725153408652,0.0865567654371261,0.3858884990215301,0.1678707838058471,154842.0
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,5,0.8587346142502472,0.0488693248508962,0.090297223075159,0.1553029807489795,0.0518505140437099,-0.0578292352195574,0.0019829224614568,36131.0
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,5,0.8974583879184704,0.0110893718984583,0.0503811977646115,0.1247730936569446,0.0960008941139968,-0.0419829750381405,0.0221497443835467,36131.0
human_nontata_promoters,Promoters,kmer_logistic_regression,6-mer logistic regression,5,0.8336194909107855,0.0034415011528621,0.2262279785308099,0.2404313607318395,0.2685775061310608,-0.0052677658756473,0.0411592717952444,36131.0
human_nontata_promoters,Promoters,small_cnn,CNN,5,0.8694984026829647,0.0209010785883441,0.0626766211899183,0.1437431223995324,0.0933275125920772,-0.0215602278709411,0.052560007572174,36131.0
human_nontata_promoters,Promoters,small_cnn_rc_aug,RC-aug CNN,5,0.8725301369159322,0.0175832695927697,0.0963888239526511,0.1588186477238255,0.0695895619690417,-0.0610079407691955,0.037768518924713,36131.0
human_ocr_ensembl,Open chromatin,caduceus_ph,Caduceus-Ph,5,0.6257319093361412,0.0071985431087709,0.055181256022602,0.241570003472939,0.0205101657693547,-0.0192117870242103,-0.0186874531944336,174756.0
human_ocr_ensembl,Open chromatin,kmer_logistic_regression,6-mer logistic regression,5,0.6817647907783776,0.00184331721206,0.2145873923962692,0.2775583759869542,0.3138770979714014,0.2119386044555749,0.1140888830947403,174756.0
human_ocr_ensembl,Open chromatin,small_cnn,CNN,5,0.6954277517622467,0.0140082380552629,0.0609925026022171,0.2248057271837855,0.0931161954998969,0.0669785499572753,0.0173707842826843,174756.0
human_ocr_ensembl,Open chromatin,small_cnn_rc_aug,RC-aug CNN,5,0.7341758399773979,0.0043886198272722,0.0432888964609906,0.2107972441294208,0.1148258417844771,0.139178967475891,0.048633313179016,174756.0
