claim_id,paper_location,metric,estimate,CI_low,CI_high,test,p_value_or_bootstrap_probability,n,registry_source,script
abstract_promoter_kmer_auroc,Abstract; Results/Held-out AUROC,AUROC,0.8984909999999999,,,registry point estimate,,2000,results/publication/table2_main_results.csv,src/generate_release_bundle.py
abstract_promoter_kmer_rc_instability,Abstract; Results/Held-out AUROC,RC instability,0.2634432589752333,,,registry point estimate,,2000,results/publication/table2_main_results.csv,src/generate_release_bundle.py
abstract_promoter_rcaug_rc_instability,Abstract; Results/Held-out AUROC,RC instability,0.0165502354502677,,,registry point estimate,,2000,results/publication/table2_main_results.csv,src/generate_release_bundle.py
cohn_dnabert_negative_mono_drop,Abstract; Results/Held-out AUROC,Mononucleotide shuffle drop,-0.048888688524904,,,registry point estimate,,6948,results/publication/table2_main_results.csv,src/generate_release_bundle.py
promoter_caduceus_vs_dnabert_rc_delta_gain,Results/Foundation models,RC instability improvement,0.0373087023776509,,,difference of registry point estimates,,2000,results/publication/table2_main_results.csv,src/generate_release_bundle.py
promoter_gc_only_matched_negative_drop,Abstract; Results/Matched-negative,Matched-negative AUROC drop,0.08406132278119949,,,difference of registry point estimates,,2000,results/release/matched_negative_model_summary.csv,src/generate_release_bundle.py
promoter_rcaug_temperature_ece_reduction,Abstract; Results/Matched-negative and GC-bin analyses,ECE reduction,0.0314445097261102,,,difference of registry point estimates,,2000,results/release/mitigation_summary.csv,src/generate_release_bundle.py
external_auroc_only_r2,Abstract; Results/External validation,R^2,0.06170684121560244,0.0010653101221095279,0.21470674009466065,bootstrap confidence interval,,82,results/release/external_transfer_stats.json,src/generate_release_bundle.py
external_full_profile_r2,Abstract; Results/External validation,R^2,0.3828453974599544,0.2628916352444744,0.5642315135660869,bootstrap confidence interval,,82,results/release/external_transfer_stats.json,src/generate_release_bundle.py
external_full_profile_advantage,Abstract; Results/External validation,Delta R^2 over AUROC-only,0.32113855624435206,0.18174012816986054,0.5145493217912405,bootstrap confidence interval,,82,results/release/external_transfer_stats.json,src/generate_release_bundle.py
case_a_bcl11a_auprc_gain,Abstract; Results/Case study,AUPRC gain,0.06919927249131949,,,difference of registry point estimates,,1,results/release/biological_case_study.csv,src/generate_release_bundle.py
case_a_bcl11a_topk_gain,Abstract; Results/Case study,Top-k enrichment gain,0.8225806451612905,,,difference of registry point estimates,,1,results/release/biological_case_study.csv,src/generate_release_bundle.py
case_b_myc_dnabert_topk_advantage,Abstract; Results/Case study,Top-k enrichment advantage,0.4297872340425526,,,difference of registry point estimates,,1,results/release/biological_case_study.csv,src/generate_release_bundle.py
synthetic_gc_conflict_dnabert_shortcut_following,Abstract; Results/GenomeCF-Synth,Shortcut-following rate,1.0,,,deterministic synthetic evaluation,,1,results/release/synthetic_extended_summary.csv,src/generate_release_bundle.py
