task_id,task_label,model_id,model_label,configuration,metric,value,before_or_after,official_AUROC,matched_negative_AUROC,ECE,Brier,RC_delta,intervention,source_file
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Temperature scaling,official_AUROC,0.9125409999999998,before,0.9125409999999998,0.8969018682985945,0.0392262811798141,0.1105972206908814,0.0818091300277182,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Temperature scaling,official_AUROC,0.9133644374863084,after,0.9133644374863084,0.8969017685149753,0.0203414589323098,0.1133926146655528,0.0896644314733192,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Temperature scaling,matched_negative_AUROC,0.8969018682985945,before,0.9125409999999998,0.8969018682985945,0.0392262811798141,0.1105972206908814,0.0818091300277182,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Temperature scaling,matched_negative_AUROC,0.8969017685149753,after,0.9133644374863084,0.8969017685149753,0.0203414589323098,0.1133926146655528,0.0896644314733192,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Temperature scaling,ECE,0.0392262811798141,before,0.9125409999999998,0.8969018682985945,0.0392262811798141,0.1105972206908814,0.0818091300277182,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Temperature scaling,ECE,0.0203414589323098,after,0.9133644374863084,0.8969017685149753,0.0203414589323098,0.1133926146655528,0.0896644314733192,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Temperature scaling,Brier,0.1105972206908814,before,0.9125409999999998,0.8969018682985945,0.0392262811798141,0.1105972206908814,0.0818091300277182,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Temperature scaling,Brier,0.1133926146655528,after,0.9133644374863084,0.8969017685149753,0.0203414589323098,0.1133926146655528,0.0896644314733192,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Temperature scaling,RC_delta,0.0818091300277182,before,0.9125409999999998,0.8969018682985945,0.0392262811798141,0.1105972206908814,0.0818091300277182,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Temperature scaling,RC_delta,0.0896644314733192,after,0.9133644374863084,0.8969017685149753,0.0203414589323098,0.1133926146655528,0.0896644314733192,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Matched-negative retraining,official_AUROC,0.9125409999999998,before,0.9125409999999998,0.8969018682985945,0.0392262811798141,0.1105972206908814,0.0818091300277182,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Matched-negative retraining,official_AUROC,0.9076700114621544,after,0.9076700114621544,0.910408878347304,0.1122251483804573,0.1371817169816064,0.0982339677964212,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Matched-negative retraining,matched_negative_AUROC,0.8969018682985945,before,0.9125409999999998,0.8969018682985945,0.0392262811798141,0.1105972206908814,0.0818091300277182,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Matched-negative retraining,matched_negative_AUROC,0.910408878347304,after,0.9076700114621544,0.910408878347304,0.1122251483804573,0.1371817169816064,0.0982339677964212,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Matched-negative retraining,ECE,0.0392262811798141,before,0.9125409999999998,0.8969018682985945,0.0392262811798141,0.1105972206908814,0.0818091300277182,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Matched-negative retraining,ECE,0.1122251483804573,after,0.9076700114621544,0.910408878347304,0.1122251483804573,0.1371817169816064,0.0982339677964212,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Matched-negative retraining,Brier,0.1105972206908814,before,0.9125409999999998,0.8969018682985945,0.0392262811798141,0.1105972206908814,0.0818091300277182,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Matched-negative retraining,Brier,0.1371817169816064,after,0.9076700114621544,0.910408878347304,0.1122251483804573,0.1371817169816064,0.0982339677964212,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
