task_id,task_label,model_id,model_label,seed,split_id,overall_auroc,overall_ece,overall_brier,n_bins,worst_bin_auroc,best_bin_auroc,gc_bin_auroc_gap,worst_bin_ece,best_bin_ece,gc_bin_ece_gap,runtime_seconds,device
gue_emp_h3k14ac,External histone mark (H3K14ac),caduceus_ph,Caduceus-Ph,2026,official,0.59065,0.0450469322740086,0.2447513329509977,5,0.4298412698412698,0.5871720116618075,0.1573307418205377,0.1246908042314989,0.0063395740719185,0.1183512301595804,0.0565493760004756,cuda
gue_emp_h3k14ac,External histone mark (H3K14ac),dnabert2,DNABERT-2,2026,official,0.7553000000000001,0.0365979977508782,0.2016521700717893,5,0.6171428571428572,0.8305882352941176,0.2134453781512604,0.1366602397378024,0.0752104161110886,0.0614498236267137,0.0623283000022638,cpu
gue_emp_h3k14ac,External histone mark (H3K14ac),kmer_logistic_regression,6-mer logistic regression,2026,official,0.6651500000000001,0.2371319418892744,0.2937848470713167,5,0.5707936507936509,0.7152941176470587,0.1445004668534079,0.3493218476642771,0.1795466226422299,0.1697752250220471,0.3355269000167027,cpu
gue_emp_h3k14ac,External histone mark (H3K14ac),small_cnn,CNN,2026,official,0.6801,0.0301501750946044,0.2479779427244579,5,0.6233236151603498,0.7453968253968254,0.1220732102364755,0.139637645922209,0.018414332753136,0.1212233131690729,4.96005980001064,cpu
gue_emp_h3k14ac,External histone mark (H3K14ac),small_cnn_rc_aug,RC-aug CNN,2026,official,0.6431749999999999,0.0661565162986516,0.242972501850613,5,0.624313725490196,0.7219047619047618,0.0975910364145657,0.1578689417556712,0.0826631252254758,0.0752058165301954,9.420368999999482,cpu
gue_emp_h3k4me3,External histone mark (H3K4me3),caduceus_ph,Caduceus-Ph,2026,official,0.577325,0.0279391025717676,0.2459369134913639,5,0.4780487804878049,0.653061224489796,0.175012444001991,0.0465764756688706,0.0070379712453922,0.0395385044234784,0.0540174919988203,cuda
gue_emp_h3k4me3,External histone mark (H3K4me3),dnabert2,DNABERT-2,2026,official,0.647775,0.0460268564716552,0.2335025489867994,5,0.5691756272401434,0.6905923344947734,0.12141670725463,0.1385591618334102,0.0421553699008313,0.0964037919325788,0.0499449999770149,cpu
gue_emp_h3k4me3,External histone mark (H3K4me3),kmer_logistic_regression,6-mer logistic regression,2026,official,0.5857749999999999,0.298733322080385,0.3478580363593544,5,0.5362007168458781,0.6390692640692641,0.102868547223386,0.370776032454208,0.2552499718757113,0.1155260605784966,0.3262360999942757,cpu
gue_emp_h3k4me3,External histone mark (H3K4me3),small_cnn,CNN,2026,official,0.6060749999999999,0.0323322582244872,0.2466519030230282,5,0.4885017421602787,0.6883618312189741,0.1998600890586953,0.1263318712774076,0.0297354560258776,0.0965964152515299,5.039161599997897,cpu
gue_emp_h3k4me3,External histone mark (H3K4me3),small_cnn_rc_aug,RC-aug CNN,2026,official,0.601325,0.0098568797111511,0.249957767814054,5,0.5102813852813852,0.69198606271777,0.1817046774363847,0.082181387826016,0.0215641800747361,0.0606172077512798,9.52062460000161,cpu
gue_human_tf_0,External TF binding (human_tf_0),caduceus_ph,Caduceus-Ph,2026,official,0.75815,0.155375205106328,0.2316449329978136,5,0.7214052287581699,0.871875,0.15046977124183,0.2443314802416766,0.0745731804403204,0.1697582998013561,0.0759973749991331,cuda
gue_human_tf_0,External TF binding (human_tf_0),dnabert2,DNABERT-2,2026,official,0.845525,0.061062190267374,0.1654550490188756,5,0.7606209150326797,0.935625,0.1750040849673203,0.147383725790161,0.1162968938845978,0.0310868319055632,0.0560919999843463,cpu
gue_human_tf_0,External TF binding (human_tf_0),kmer_logistic_regression,6-mer logistic regression,2026,official,0.7819250000000001,0.1512009370929217,0.2134851056258912,5,0.7416897506925207,0.8591485507246377,0.1174588000321169,0.216512773339773,0.1234827467591128,0.0930300265806601,0.0743359999905806,cpu
gue_human_tf_0,External TF binding (human_tf_0),small_cnn,CNN,2026,official,0.7032750000000001,0.1411253663897514,0.2413940318459417,5,0.68,0.7785947712418302,0.0985947712418301,0.2288049059254782,0.0988894900742997,0.1299154158511785,1.2721055000147317,cpu
gue_human_tf_0,External TF binding (human_tf_0),small_cnn_rc_aug,RC-aug CNN,2026,official,0.8227000000000001,0.0650872323662042,0.171030665615068,5,0.7531249999999999,0.9125905797101448,0.1594655797101449,0.1319144837399746,0.0642736761977798,0.0676408075421948,2.412840100005269,cpu
gue_human_tf_1,External TF binding (human_tf_1),caduceus_ph,Caduceus-Ph,2026,official,0.8017000000000001,0.1880896808283954,0.2200638725756904,5,0.8165322580645161,0.9220226843100188,0.1054904262455027,0.2990730847722712,0.1584818701721724,0.1405912146000987,0.0522115570001915,cuda
gue_human_tf_1,External TF binding (human_tf_1),dnabert2,DNABERT-2,2026,official,0.92325,0.1191953162287933,0.1257484731951383,5,0.8770161290322581,0.947069943289225,0.0700538142569668,0.1888055180305936,0.1312514398916805,0.057554078138913,0.0712106999999377,cpu
gue_human_tf_1,External TF binding (human_tf_1),kmer_logistic_regression,6-mer logistic regression,2026,official,0.863125,0.0971983883087984,0.156750581986942,5,0.8312854442344045,0.9027484143763214,0.0714629701419168,0.1648865174162774,0.0812317802013352,0.0836547372149421,0.0725479000248014,cpu
gue_human_tf_1,External TF binding (human_tf_1),small_cnn,CNN,2026,official,0.7267875000000001,0.1319368129968643,0.2475234466664048,5,0.7108879492600423,0.8125,0.1016120507399577,0.1804643963160139,0.0638464291890462,0.1166179671269677,1.244989600003464,cpu
gue_human_tf_1,External TF binding (human_tf_1),small_cnn_rc_aug,RC-aug CNN,2026,official,0.8904000000000001,0.1250450229272246,0.1478573184372555,5,0.8678646934460889,0.9436974789915966,0.0758327855455077,0.158961932728256,0.1136954127122526,0.0452665200160033,2.400099999998929,cpu
