task_id,model_id,auroc,rc_mean_abs_delta,rc_flip_rate,mono_positive_prob_drop,dinuc_positive_prob_drop,mono_calibration_shift,gc_only_explainability_ratio,matched_auroc_drop,gc_bin_auroc_gap,mono_badness,dinuc_badness,rc_rank,rc_flip_rank,mono_rank,dinuc_rank,calibration_rank,gc_bin_rank,matched_rank,gc_ratio_rank,shortcut_score,auroc_rank,task_label,model_label
human_enhancers_cohn,caduceus_ph,0.7727349710937637,0.0298684137850311,0.0533966609096142,-0.1025229935421168,-0.0205491437594516,0.0862308207857427,0.949767678959902,0.07936293191146904,0.0820589618603114,0.1025229935421168,0.0205491437594516,3.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,4.0,4.0,Enhancers (Cohn),Caduceus-Ph
human_enhancers_cohn,dnabert2,0.829724,0.0591436634907785,0.097,-0.048888688524904,0.0233092158668266,0.1085232303233046,0.8845335315681729,0.04923720695718059,0.0550190538312096,0.048888688524904,-0.0233092158668266,4.0,4.0,3.0,2.0,5.0,3.0,2.0,1.0,3.0,5.0,Enhancers (Cohn),DNABERT-2
human_enhancers_cohn,kmer_logistic_regression,0.700194,0.3707913085785532,0.378,-0.0796955816894356,0.13848789357906,0.082524954120737,1.0481647942525512,0.0354612076521299,0.0467966416264107,0.0796955816894356,-0.13848789357906,5.0,5.0,4.0,1.0,3.0,2.0,1.0,5.0,3.25,1.0,Enhancers (Cohn),6-mer logistic regression
human_enhancers_cohn,small_cnn,0.7535540000000001,0.0188364125788211,0.036,0.0077331066131591,0.0144553780555725,-0.0043589839041233,0.973943075011042,0.07725195436093635,0.0679005752267188,-0.0077331066131591,-0.0144553780555725,2.0,2.0,1.0,4.0,1.0,4.0,4.0,4.0,2.75,2.0,Enhancers (Cohn),CNN
human_enhancers_cohn,small_cnn_rc_aug,0.7645774999999999,0.0141832903027534,0.031,0.0030723810195922,0.0171687602996826,0.0056424895748496,0.9599009910007432,0.05957906516260625,0.0228365468270275,-0.0030723810195922,-0.0171687602996826,1.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,Enhancers (Cohn),RC-aug CNN
human_enhancers_ensembl,caduceus_ph,0.717767235241454,0.0461359751301055,0.1382951243138521,-0.0316648146657818,-0.0094850690250444,0.0020038531441855,0.9225749654096174,0.06581190295040507,0.064462649106368,0.0316648146657818,0.0094850690250444,1.0,3.0,5.0,5.0,2.0,4.0,5.0,5.0,3.75,1.0,Enhancers (Ensembl),Caduceus-Ph
human_enhancers_ensembl,dnabert2,0.775216,0.0962735484349267,0.146,0.0428744396754445,0.0094690798395876,0.0229165626320681,0.8542059016132809,0.0014165155656814532,0.0273116429082692,-0.0428744396754445,-0.0094690798395876,4.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,Enhancers (Ensembl),DNABERT-2
human_enhancers_ensembl,kmer_logistic_regression,0.735919,0.3435115053220235,0.3565,0.2028774627488171,0.2160423827040129,0.1316629615645519,0.899819249435116,0.019090412696100456,0.0532840021869449,-0.2028774627488171,-0.2160423827040129,5.0,5.0,2.0,1.0,5.0,2.0,4.0,4.0,3.5,2.0,Enhancers (Ensembl),6-mer logistic regression
human_enhancers_ensembl,small_cnn,0.838548,0.0891550555825233,0.1325,0.1784351468086242,0.0648070573806762,-0.0111335453838109,0.7896913262270511,0.017359106499092558,0.0715169833078612,-0.1784351468086242,-0.0648070573806762,3.0,2.0,3.0,3.0,1.0,5.0,2.0,2.0,2.625,4.0,Enhancers (Ensembl),CNN
human_enhancers_ensembl,small_cnn_rc_aug,0.8839299999999999,0.0688883513212204,0.07,0.3199376463890075,0.1265183091163635,0.1054037188924849,0.7491476499553599,0.01736094330681237,0.0621374896849732,-0.3199376463890075,-0.1265183091163635,2.0,1.0,1.0,2.0,4.0,3.0,3.0,1.0,2.125,5.0,Enhancers (Ensembl),RC-aug CNN
human_nontata_promoters,caduceus_ph,0.8528062767459534,0.0404262294153215,0.035421740092982,-0.0604816577373737,0.0015758352155724,0.0711167275968698,0.9332892942441527,0.0597096068745695,0.208207050355126,0.0604816577373737,-0.0015758352155724,2.0,2.0,5.0,5.0,2.0,1.0,5.0,4.0,3.25,2.0,Promoters,Caduceus-Ph
human_nontata_promoters,dnabert2,0.887888,0.0777349317929724,0.073,-0.0538831078698363,0.0038541693706631,0.1646617959442884,0.8964137009974394,0.015639131701405296,0.2621939610925163,0.0538831078698363,-0.0038541693706631,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.375,4.0,Promoters,DNABERT-2
human_nontata_promoters,kmer_logistic_regression,0.8984909999999999,0.2634432589752333,0.268,-0.0026594560109637,0.0575635769009338,0.2183623565619146,0.8858352149895933,0.004448837061968414,0.2184823438748768,0.0026594560109637,-0.0575635769009338,5.0,5.0,2.0,1.0,5.0,2.0,1.0,1.0,2.75,5.0,Promoters,6-mer logistic regression
human_nontata_promoters,small_cnn,0.842903,0.0435033664107322,0.0625,-0.0022913217544555,0.0464639663696289,0.0415386336222291,0.9442545205690508,0.018319665865750068,0.3067914803916226,0.0022913217544555,-0.0464639663696289,3.0,3.0,1.0,2.0,1.0,4.0,3.0,5.0,2.75,1.0,Promoters,CNN
human_nontata_promoters,small_cnn_rc_aug,0.8636599999999999,0.0165502354502677,0.0195,-0.0348603129386901,0.0378893613815307,0.1297359126955269,0.9215605309395072,0.027399641246250828,0.33473454083926,0.0348603129386901,-0.0378893613815307,1.0,1.0,3.0,3.0,3.0,5.0,4.0,3.0,2.875,3.0,Promoters,RC-aug CNN
