dataset,task_label,model_family,model_label,ensemble_auroc,ensemble_ece,ensemble_brier,ensemble_reverse_complement_mean_abs_delta,ensemble_reverse_complement_flip_rate,ensemble_mono_shuffle_positive_prob_drop,ensemble_dinuc_shuffle_positive_prob_drop
human_nontata_promoters,Promoters,kmer_logistic_regression,6-mer logistic regression,0.8984909999999999,0.1102176388215763,0.133432542662848,0.2634432589752333,0.268,-0.0026594560109637,0.0575635769009338
human_nontata_promoters,Promoters,small_cnn,CNN,0.842903,0.0228868810981512,0.1519707324290783,0.0435033664107322,0.0625,-0.0022913217544555,0.0464639663696289
human_nontata_promoters,Promoters,small_cnn_rc_aug,RC-aug CNN,0.8636599999999999,0.0440954817906022,0.1440133262069258,0.0165502354502677,0.0195,-0.0348603129386901,0.0378893613815307
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,0.887888,0.0420015626662993,0.1279405383264637,0.0777349317929724,0.073,-0.0538831078698363,0.0038541693706631
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,0.8528062767459534,0.0244592582419492,0.1538127081494769,0.0404262294153215,0.035421740092982,-0.0604816577373737,0.0015758352155724
human_enhancers_cohn,Enhancers (Cohn),kmer_logistic_regression,6-mer logistic regression,0.700194,0.2857826502558501,0.3092504288842322,0.3707913085785532,0.378,-0.0796955816894356,0.13848789357906
human_enhancers_cohn,Enhancers (Cohn),small_cnn,CNN,0.7535540000000001,0.0793757087886333,0.2086222937918012,0.0188364125788211,0.036,0.0077331066131591,0.0144553780555725
human_enhancers_cohn,Enhancers (Cohn),small_cnn_rc_aug,RC-aug CNN,0.7645774999999999,0.0708906665369868,0.2026313437309672,0.0141832903027534,0.031,0.0030723810195922,0.0171687602996826
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,0.829724,0.0248308120776902,0.1684215524305007,0.0591436634907785,0.097,-0.048888688524904,0.0233092158668266
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,0.7727349710937637,0.0342800785565275,0.1945990957555004,0.0298684137850311,0.0533966609096142,-0.1025229935421168,-0.0205491437594516
human_enhancers_ensembl,Enhancers (Ensembl),kmer_logistic_regression,6-mer logistic regression,0.735919,0.2457055763718007,0.2734987871521236,0.3435115053220235,0.3565,0.2028774627488171,0.2160423827040129
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn,CNN,0.838548,0.0795540403276681,0.1719178157550824,0.0891550555825233,0.1325,0.1784351468086242,0.0648070573806762
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn_rc_aug,RC-aug CNN,0.8839299999999999,0.0399395995624363,0.1393566969178189,0.0688883513212204,0.07,0.3199376463890075,0.1265183091163635
human_enhancers_ensembl,Enhancers (Ensembl),dnabert2,DNABERT-2,0.775216,0.0271078423685805,0.1936904636088807,0.0962735484349267,0.146,0.0428744396754445,0.0094690798395876
human_enhancers_ensembl,Enhancers (Ensembl),caduceus_ph,Caduceus-Ph,0.717767235241454,0.0432965822595281,0.2168543161810468,0.0461359751301055,0.1382951243138521,-0.0316648146657818,-0.0094850690250444
human_ocr_ensembl,Open chromatin,kmer_logistic_regression,6-mer logistic regression,0.650458,0.2963202469797955,0.3305716614378323,0.3800095436071972,0.3935,0.22693885716273,0.0620904300322382
human_ocr_ensembl,Open chromatin,small_cnn,CNN,0.640304,0.0630083151757717,0.242803743933832,0.0132225817069411,0.057,0.0030643939971923,-0.0104559659957885
human_ocr_ensembl,Open chromatin,small_cnn_rc_aug,RC-aug CNN,0.7036005000000001,0.051936047360301,0.2220495119774068,0.0560485534369945,0.156,0.0610595345497131,0.0084955692291259
human_ocr_ensembl,Open chromatin,dnabert2,DNABERT-2,0.682172,0.0215315742956969,0.225036363403999,0.0896396177690308,0.222,0.0863265325473023,-0.033496682882641
human_ocr_ensembl,Open chromatin,caduceus_ph,Caduceus-Ph,0.6234587665359695,0.0565579938032962,0.2420725643710453,0.0228954475639314,0.1597333485923552,-0.0170032457138196,-0.0179371611528099
