claim_id,paper_location,claim_text,source_artifact,script,expected,observed,tolerance,validated,notes
key_numbers::caduceus_enhancer_auroc,paper/main_or_supplement,caduceus_enhancer_auroc,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.7727349710937637,,True,
key_numbers::caduceus_promoter_auroc,paper/main_or_supplement,caduceus_promoter_auroc,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.8528062767459534,,True,
key_numbers::caduceus_promoter_rc_instability,paper/main_or_supplement,caduceus_promoter_rc_instability,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.0404262294153215,,True,
key_numbers::case_bcl11a_temp_auprc,paper/main_or_supplement,case_bcl11a_temp_auprc,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.1666166501555553,,True,
key_numbers::case_bcl11a_temp_auroc,paper/main_or_supplement,case_bcl11a_temp_auroc,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.5825206855791961,,True,
key_numbers::case_bcl11a_temp_topk_enrichment,paper/main_or_supplement,case_bcl11a_temp_topk_enrichment,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,2.056451612903226,,True,
key_numbers::case_myc_dnabert_spearman,paper/main_or_supplement,case_myc_dnabert_spearman,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.1053415152420848,,True,
key_numbers::case_myc_dnabert_topk_enrichment,paper/main_or_supplement,case_myc_dnabert_topk_enrichment,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,1.934042553191489,,True,
key_numbers::dnabert_enhancer_auroc,paper/main_or_supplement,dnabert_enhancer_auroc,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.829724,,True,
key_numbers::dnabert_enhancer_mono_shuffle_drop,paper/main_or_supplement,dnabert_enhancer_mono_shuffle_drop,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,-0.048888688524904,,True,
key_numbers::external_auroc_vs_reliability_spearman,paper/main_or_supplement,external_auroc_vs_reliability_spearman,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.21471441337022792,,True,
key_numbers::external_full_profile_advantage_ci_high,paper/main_or_supplement,external_full_profile_advantage_ci_high,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.5145493217912405,,True,
key_numbers::external_full_profile_advantage_ci_low,paper/main_or_supplement,external_full_profile_advantage_ci_low,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.18174012816986054,,True,
key_numbers::external_full_profile_advantage_delta_r2,paper/main_or_supplement,external_full_profile_advantage_delta_r2,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.32113855624435206,,True,
key_numbers::external_full_profile_r2,paper/main_or_supplement,external_full_profile_r2,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.3828453974599544,,True,
key_numbers::external_full_profile_r2_ci_high,paper/main_or_supplement,external_full_profile_r2_ci_high,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.5642315135660869,,True,
key_numbers::external_full_profile_r2_ci_low,paper/main_or_supplement,external_full_profile_r2_ci_low,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.2628916352444744,,True,
key_numbers::external_pair_count,paper/main_or_supplement,external_pair_count,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,82,,True,
key_numbers::external_shortcut_vs_reliability_spearman,paper/main_or_supplement,external_shortcut_vs_reliability_spearman,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.07690238291646789,,True,
key_numbers::external_shortcut_vs_reliability_spearman_ci_high,paper/main_or_supplement,external_shortcut_vs_reliability_spearman_ci_high,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.2711396466296953,,True,
key_numbers::external_shortcut_vs_reliability_spearman_ci_low,paper/main_or_supplement,external_shortcut_vs_reliability_spearman_ci_low,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,-0.12940333568246104,,True,
key_numbers::matched_promoter_gc_only_auroc,paper/main_or_supplement,matched_promoter_gc_only_auroc,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.711853645370015,,True,
