tier,task_id,task_readable_name,split_id,6-mer logistic regression,CNN,Caduceus-Ph,CpG-only logistic regression,DNABERT-2,GC-only logistic regression,Length-only logistic regression,Nucleotide Transformer v2,RC-aug CNN,Repeat-only logistic regression
core,human_enhancers_cohn,Enhancers (Cohn),chromosome_5fold_cv,5,5,5,0,5,0,0,0,5,0
core,human_enhancers_cohn,Enhancers (Cohn),chromosome_chr1_chr2_holdout,1,1,0,0,0,0,0,0,1,0
core,human_enhancers_cohn,Enhancers (Cohn),matched_test,1,2,3,0,3,1,0,0,2,0
core,human_enhancers_cohn,Enhancers (Cohn),official,1,4,3,1,3,1,0,1,4,1
core,human_enhancers_ensembl,Enhancers (Ensembl),chromosome_5fold_cv,5,5,5,0,0,0,0,0,5,0
core,human_enhancers_ensembl,Enhancers (Ensembl),chromosome_chr1_chr2_holdout,1,0,0,0,0,0,0,0,0,0
core,human_enhancers_ensembl,Enhancers (Ensembl),matched_test,1,2,1,0,1,1,0,0,2,0
core,human_enhancers_ensembl,Enhancers (Ensembl),official,1,3,1,1,1,1,1,0,3,1
core,human_nontata_promoters,Promoters,chromosome_5fold_cv,5,5,5,0,5,0,0,0,5,0
core,human_nontata_promoters,Promoters,chromosome_chr1_chr2_holdout,1,1,0,0,0,0,0,0,1,0
core,human_nontata_promoters,Promoters,matched_test,1,2,3,0,3,1,0,0,2,0
core,human_nontata_promoters,Promoters,official,1,4,3,1,3,1,0,1,4,1
core,human_ocr_ensembl,Open chromatin,chromosome_5fold_cv,5,5,5,0,0,0,0,0,5,0
core,human_ocr_ensembl,Open chromatin,chromosome_chr1_chr2_holdout,1,0,0,0,0,0,0,0,0,0
core,human_ocr_ensembl,Open chromatin,official,1,1,1,1,1,1,1,0,1,1
external,gue_emp_h3k14ac,External histone mark (H3K14ac),matched_test,1,1,1,0,1,0,0,0,1,0
external,gue_emp_h3k14ac,External histone mark (H3K14ac),official,1,1,1,0,2,0,0,0,1,0
external,gue_emp_h3k4me3,External histone mark (H3K4me3),matched_test,1,1,1,0,1,0,0,0,1,0
external,gue_emp_h3k4me3,External histone mark (H3K4me3),official,1,1,1,0,2,0,0,0,1,0
external,gue_human_tf_0,External TF binding (human_tf_0),matched_test,1,1,3,0,3,0,0,0,1,0
external,gue_human_tf_0,External TF binding (human_tf_0),official,1,1,3,0,3,0,0,0,1,0
external,gue_human_tf_1,External TF binding (human_tf_1),matched_test,1,1,1,0,1,0,0,0,1,0
external,gue_human_tf_1,External TF binding (human_tf_1),official,1,1,1,0,2,0,0,0,1,0
external,mpra_bcl11a_enhancer,mpra_bcl11a_enhancer,official,1,2,3,0,3,0,0,0,2,0
external,mpra_f9_promoter,mpra_f9_promoter,official,1,2,3,0,3,0,0,0,2,0
external,mpra_hbb_promoter,mpra_hbb_promoter,official,1,2,3,0,3,0,0,0,2,0
external,mpra_ldlr_promoter,mpra_ldlr_promoter,official,1,2,3,0,3,0,0,0,2,0
external,mpra_myc_enhancer,mpra_myc_enhancer,official,1,2,3,0,3,0,0,0,2,0
screening,drosophila_enhancers_stark,Fly enhancers,official,1,0,0,0,0,0,0,0,0,0
screening,dummy_mouse_enhancers_ensembl,Mouse enhancers,official,1,0,0,0,0,0,0,0,0,0
synthetic,gc_correlated,Synthetic GC-correlated planted motif task,synthetic_default,1,1,0,0,0,0,0,0,1,0
synthetic,gc_matched,Synthetic GC-matched planted motif task,synthetic_default,1,1,0,0,0,0,0,0,1,0
